dataset,method,method_type,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,feature_dim_mean,feature_dim_std,feature_dim_ci95,encoding_s_mean,encoding_s_std,encoding_s_ci95,training_s_mean,training_s_std,training_s_ci95,total_s_mean,total_s_std,total_s_ci95,overhead_ratio_mean,overhead_ratio_std,overhead_ratio_ci95,encoding_peak_mb_mean,encoding_peak_mb_std,encoding_peak_mb_ci95,training_peak_mb_mean,training_peak_mb_std,training_peak_mb_ci95
wine,amplitude,qie_sklearn,5,0.6277776,0.05046091,0.06265448,0.5017492,0.04358925,0.05412232,16,0.0,0.0,0.0002714,3.05e-06,3.79e-06,0.005315,0.00033265,0.00041303,0.0055862,0.00033086,0.00041081,0.04873945,0.00329939,0.00409667,0.051368,0.0,0.0,0.0704002,0.00125614,0.00155967
wine,angle,qie_sklearn,5,0.9722222,0.03402055,0.04224141,0.9733002,0.03341773,0.04149292,26,0.0,0.0,0.0001688,4.09e-06,5.07e-06,0.0072448,0.0025907,0.00321673,0.0074138,0.00258902,0.00321463,0.02447053,0.00619154,0.00768768,0.106128,0.0,0.0,0.067949,0.00139923,0.00173735
wine,basis,qie_sklearn,5,0.9166668,0.01964166,0.02438794,0.918541,0.02006061,0.02490813,104,0.0,0.0,0.000207,1.562e-05,1.94e-05,0.0082686,0.00169495,0.00210452,0.0084754,0.00170879,0.00212171,0.0248994,0.00319668,0.00396914,0.1643472,2.415e-05,2.999e-05,0.2622566,0.00129263,0.00160499
wine,amplitude_torch,qie_torch,5,0.3777778,0.0248454,0.03084914,0.182667,0.00894427,0.0111056,16,0.0,0.0,,,,,,,0.1944946,0.00392415,0.0048724,,,,,,,18.119168,0.0,0.0
wine,angle_torch,qie_torch,5,0.9444446,0.03928349,0.04877611,0.9447262,0.04005226,0.04973064,26,0.0,0.0,,,,,,,0.0372526,0.00153593,0.00190708,,,,,,,18.131968,0.0,0.0
wine,basis_torch,qie_torch,5,0.7555556,0.0496908,0.06169827,0.7396912,0.06072346,0.07539691,104,0.0,0.0,,,,,,,0.059266,0.01407225,0.01747273,,,,,,,18.235392,0.0,0.0
wine,raw_linear,baseline_sklearn,5,0.9777776,0.0124227,0.01542457,0.9776052,0.01259463,0.01563804,13,0.0,0.0,0.0007584,3.375e-05,4.191e-05,0.004159,0.00019073,0.00023682,0.004917,0.00019615,0.00024354,0.15438427,0.0078902,0.00979682,0.0358504,4.83e-05,5.997e-05,0.051288,0.00038007,0.00047192
wine,rff,baseline_sklearn,5,0.888889,0.027778,0.03449038,0.891137,0.02543536,0.03158166,26,0.0,0.0,0.0027092,1.851e-05,2.299e-05,0.0037782,0.00012595,0.00015639,0.0064878,0.00013678,0.00016983,0.41770282,0.00742855,0.00922361,0.0875542,0.00025957,0.00032229,0.0631516,0.00039682,0.00049271
wine,poly2,baseline_sklearn,5,0.961111,0.03167144,0.03932465,0.9613216,0.03158045,0.03921167,104,0.0,0.0,0.0027286,5.3e-05,6.581e-05,0.005912,0.00056459,0.00070102,0.0086404,0.00060058,0.00074571,0.31680881,0.01885458,0.02341068,0.33011,0.00012664,0.00015724,0.1416518,0.00053771,0.00066764
wine,poly3,baseline_sklearn,5,0.9499998,0.030429,0.03778198,0.9497324,0.03097207,0.03845628,559,0.0,0.0,0.0043126,8.758e-05,0.00010875,0.0161706,0.01390449,0.01726442,0.0204834,0.01388646,0.01724204,0.26201038,0.09625369,0.11951281,1.4553732,0.00012314,0.00015289,0.5998098,0.00085203,0.00105791
